2016-09-16,1568444.61,2139.16
2016-09-19,1573457.40,2139.12
2016-09-20,1579253.09,2139.76
2016-09-21,1596510.93,2163.12
2016-09-22,1597856.42,2177.18
2016-09-23,1582060.40,2164.69
2016-09-26,1572484.90,2146.10
2016-09-27,1581929.22,2159.93
2016-09-28,1589760.64,2171.37
2016-09-29,1635872.78,2151.13
2016-09-30,1646743.92,2168.27
2016-10-03,1642165.42,2161.20
2016-10-04,1641260.92,2150.49
2016-10-05,1640563.53,2159.73
2016-10-06,1630106.68,2160.77
2016-10-07,1621705.21,2153.74
2016-10-10,1629092.17,2163.66
2016-10-11,1610115.28,2136.73
2016-10-12,1613471.78,2139.18
2016-10-13,1607400.19,2132.55
2016-10-14,1608229.98,2132.98
2016-10-17,1608559.16,2126.50
2016-10-18,1622762.90,2139.60
2016-10-19,1616162.19,2144.29
2016-10-20,1614555.22,2141.34
2016-10-21,1614162.45,2141.16
2016-10-24,1616795.47,2151.33
2016-10-25,1523417.00,2143.16
2016-10-26,1521132.82,2139.43
2016-10-27,1516007.02,2133.04
2016-10-28,1522173.63,2126.41
2016-10-31,1520559.27,2126.15
2016-11-01,1505816.56,2111.72
2016-11-02,1496410.41,2097.94
2016-11-03,1495231.85,2088.66
2016-11-04,1485952.24,2085.18
2016-11-07,1507401.38,2131.52
2016-11-08,1514522.16,2139.56
2016-11-09,1519556.60,2163.26
2016-11-10,1501152.46,2167.48
2016-11-11,1495634.75,2164.45
2016-11-14,1492727.09,2164.20
2016-11-15,1491114.62,2180.39
2016-11-16,1492660.91,2176.94
2016-11-17,1506094.79,2187.12
2016-11-18,1841824.73,2181.90
2016-11-21,1843369.97,2198.18
2016-11-22,1833027.57,2202.94
2016-11-23,1817436.63,2204.72
2016-11-24,1817436.63,NULL
2016-11-25,1835641.56,2213.35
2016-11-28,1803062.88,2201.72
2016-11-29,1804236.42,2204.66
2016-11-30,1797319.51,2198.81
2016-12-01,1791472.71,2191.08
2016-12-02,1796792.12,2191.95
2016-12-05,1802190.55,2204.71
2016-12-06,1844804.88,2212.23
2016-12-07,1880452.13,2241.35
2016-12-08,1823034.12,2246.19
2016-12-09,1834888.69,2259.53
